candidate,tweet count
amanda_adkins,0
Becchi4Congress (Deleted),0
Loomer4Congress,0
RepSpartz,0
Hites4Congress,0
LisaForCongress,2
LizLemeryJoy,5
SandySmithNC,4
RepCarolMiller,0
JeanneIves,16
laurenboebert,343
Bethvanduyne,12
Raborn4Congress,0
hinsonashley,24
LyndaBennettNC,1
ElectQuinn,1
DashaPruett,1
agnes_gibboney,0
VickyHartzlerMO,0
Liz_Cheney,4
RudySotoIDUSA,0
Ted_Howze,5
DavidKimForCA,1
RoKhanna,108
RepBera,1
tedlieu,228
AndyKimNJ,7
lalforcongress,0
tandon4congress,5
MondaireJones,12
RepDwightEvans,3
RepHankJohnson,2
MoeBrownSC,4
repcleaver,2
RepAlGreen,0
alceehastings,0
JAverhart2020,0
RepBobbyRush,0
JamaalBowmanNY,120
DrCameronWebb,8
repjohnlewis,21
RepColinAllred,5
WhipClyburn,56
ClevelandHosea,4
RLewis4Congress (Deleted),0
martinlemelle,4
AllenLEllison,10
BurgessOwens,35
ErrolWebbe,0
Casper4Colorado,8
FriendsHarvey,0
BillyPrempeh,0
ChristianForNJ,0
Casper4Colorado,8
sgt_pennie,1
WesleyHuntTX,10
BurgessOwens,35
ErrolWebbe,0
FriendsHarvey,0
RepLouCorrea,1
JoaquinCastrotx,34
RepJimmyGomez,4
standwithraul,0
RepFilemonVela,1
RepGilCisneros,6
RepCuellar,1
GusForTX,0
PhilArballo,0
vote4esteban,0
jesussoloriojr,1
Torres4cong,0
ElectMikeGarcia,0
TonyGonzales4TX,12
VoteSangari,0
DelgadoforNY,0
MichaelTolar6,0
RepEspaillat,11
joshuascottca32,2
LukeEdison20,5
BestforKY,0
Gear6A,2
MikeForBuffalo,0
algjr,0
DarrellIssa,36
EsshakiCongress,9
RepJoeMorelle,5
davidcicilline,39
KevinVanAusdal,0
RepJoshG,6
RepLowenthal,5
Malinowski,25
Noren4Congress,1
ScottPetersSD,0
VoteCasten,5
stephendaniel,1
TomOHalleran,1
ryantrundleCD4,0
jahimes,2
williamsfor15 (Deleted),0
repjimcooper,6
NorthTownshipTr,0
WardCongress,0
RepDeSaulnier,4
RobAnderson2018,464
NickRubando,2
RepDavidTrone,4
ConorLambPA,23
Clint4congress,0
ChrisPappasNH,10
TedDeutch,1
AlanMCohn,2
RepSchrader,0
repblumenauer,10
StenyHoyer,2
RepJimmyPanetta,3
PaulTonko,1
RepSwalwell,360
RepLynch,0
michael_muscato,15
RussellFosterTX,6
RepJasonCrow,18
RepCohen,14
PeterWelch,0
RepTomSuozzi,4
CharlieCrist,3
RepAdamSchiff,1036
rep_doyle,1
MarkElworthJr,0
RepEdCase,1
Chip4Congress,3
CartwrightPA,1
PhilEhr,68
Hank4Texas,4
devindthorpe,3
BenMcAdams,7
gregstantonaz,1
RepBrendanBoyle,35
RepMcNerney,1
RepAuchincloss,0
SiegelForTexas,46
Wakely2020,0
spmaloney,0
KistnerCongress,4
freeutahns,0
DanRodimer,70
JonDillard_TN8,0
BettyMcCollum04,4
Scott A. Smith,0
CritterMilton,0
RichTorregano,0
PeteStauber,12
jdrodenberger,0
danielfeehan,7
hank_schroeder,0
ShawnKelly2020,0
fritzmayock,0
Preston4Congres,1
billgarlington,0
justin4all2,0
BobCohen1,0
JoshEisen17,0
chris_9th,0
Greenfield4NY19,0
BillRedpathLP,0
collinpeterson,1
RepJohnLarson,4
stevehoheks,0
Moore4the9th,0
LapeforOhio,0
stevestivers,1
MikeRogersCamp,0
RepRonnyJackson,0
RepGregSteube,26
derrickvanorden,11
Lancegooden,18
MarkwayneMullin,1
RepSteveChabot,15
kevinomccarthy,40
RepJerryCarl,0
michaelgwaltz,4
JeffFortenberry,11
MarkReed1776,2
CongressmanHice,65
Crawford4Cong,1
womack4congress,0
KevCookingham,0
neilparrott,0
JimOberweis,6
for_teague,2
Vern2014,0
GregRaths,4
RepJackBergman,3
mattgaetz,1610
MattForMontana,3
repdonyoung,4
McCaulforTexas,13
MattHasty3 (Suspended),0
Bognet4congress,4
brianlmaryott,4
CargileForCA35,0
chiproytx,127
RepJimBanks,100
RepBillJohnson,3
DrPaulGosar,300
DesJarlaisTN04,2
DavidXSullivan,3
GReschenthaler,30
JeffGormanMRY,1
EricEarly_CA,16
RepGregPence,3
CliffBentz,2
VoteTimmons,0
ElectRodney,3
VanTaylorTX,8
RepBlaine,1
Jim_Jordan,3699
TomColeOK04,2
BarnettforAZ,48
RepWebster,2
TomRiceSC7,48
DunnCampaign,0
ron4congress,0
RepBryanSteil,8
RepHuizenga,8
RepMcKinley,5
RepThomasMassie,102
robertthomasnc1,0
WeberforTexas,0
RepBobGibbs,3
RepDustyJohnson,9
MikeTurnerOH,1
RepLarryBucshon,2
goMurph2020,0
RepDavidValadao,0
congbillposey,2
BuzzPatterson,205
RepChuck,3
RepGarretGraves,2
RepFranklin,0
BobLancia,9
DavidRichterNJ,1
FrankPallottaNJ,2
RogerWilliamsTX,12
RepGrothman,43
BostForCongress,1
replouiegohmert,294
DevinNunes,507
USRepGaryPalmer,1
RepAndyHarrisMD,4
RepFrankLucas,3
JudgeJohnCarter,4
Dude4Liberty,19
RepMarkGreen,11
CongressmanGT,1
DouglasTuman,0
GuestCongress,0
Johnny_Congress,14
RepGuthrie,4
RepBalderson,5
GregMusselwhit3,7
YoungForIowa,1
WestPointWeber,2
RepBrianMast,5
RepKevinBrady,12
RepMoolenaa,0
RepDLamborn,3
